,Agent,Dateofbirth,Latesttransfer,CIESvalue,TMvalue,Totaltransfers,Timeinyouthteam,Goalkicks,Dominantfoot,Position,Maincompetition,Salary,Startofcontract,Contractexpiration,Previousclub,Releaseclause,Saves,Dribble,Defender,Transfers,Offthebench,Altura,Ageinlastgame,Previouscompetition,Currentclub,Ageondebut,Countryofbirth,ELO,Market value,Othershirtnumbers,Tempo,Placeofbirth,Timescalledup,Nacionalidad(es),Physical,Pass,Placement,Mostcommonshirtnumber,Matchesasastarter,Shot,Stretch,Debut,Reflexes,Liga,Lastmatch,Marketvalue,Jump,Provider,Latestrenewal,Potential,Regionofbirth,Edad,Continentofbirth
Fodé Ballo-Touré,BSGroup-BSLaw,03January1997,,2M€,3.5M€,,"ASEragny(2003-2005),FCParisSaint-Germain(2005-2015)",,Left,DF(Defender),SerieA,1.4M€annual,18-07-2021,30-06-2025,Monaco,,,74,56,transfer,,182,,Ligue1,Milan,,France,60,3.1,"12,2,3,25,33,13,15",84,Conflans-Sainte-Honorine,,Senegal,68,69,,5,,53,,,,SerieA,,3.1M€,,Adidas,,73,EuropaOccidental,26,Europe
M. Gabbia,TMPSOCCERsrl,21October1999,,6M€,7M€,,,,Right,DF(Defender),SerieA,751.2k€annual,01-07-2017,30-06-2026,LuccheseLibertas,,,51,48,transfer,,190,,LegaPro,Milan,,Italy,60,7.3,"4,6,5,19,16,18,14,13,10",52,BustoArsizio,,Italy,58,41,,46,,39,,,,SerieA,,7.3M€,,,03-02-2022,68,EuropadelSur,23,Europe
Sandro Tonali,GrSports,08May2000,,60M€,50M€,,LombardiaUno(2007-2009),,Right,MID(Midfielder),SerieA,1.7M€annual,08-07-2021,30-06-2027,Brescia,,,77,59,transfer,,181,,SerieB,Milan,,Italy,81,49.8,"4,18,34,6,5",81,Lodi,,Italy,73,77,,8,,70,,,,SerieA,,49.8M€,,Nike,09-09-2022,86,EuropadelSur,22,Europe
I. Bennacer,,01December1997,,,,,ACArles(2004–2014),,Left,MID(Midfielder),SerieA,,,,Empoli,,,81,60,,6,167,24years,SerieA,Milan,18years,France,77,33,"22,10,8,33,11,7,36,18",73,Arles,53,Algeria,75,76,,4,35,70,,04/09/2016,,SerieA,19/11/2022,,,,,81,EuropaOccidental,25,Europe
Brahim Díaz,Sports&Life,03August1999,30-06-2023,30M€,18M€,20.6M€,,,Left,MID(Midfielder),SerieA,5.1M€annual,28-05-2018,30-06-2025,RealMadrid,750M€,,81,39,9transfers,,170,,LaLiga,Milan,,Spain,75,20.6,"10,55,7,8,17,9,11,4,16",77,Málaga,,Spain,62,72,,21,,62,,,,SerieA,,20.6M€,,Nike,,80,EuropadelSur,23,Europe
Charles De Ketelaere,,10March2001,,40M€,30M€,,"KFCVarsenare(2006-2008),ClubBrugge(2008-2018)",,Left,MID(Midfielder),SerieA,788.1k€annual,01-07-2019,30-06-2027,ClubBrugge,,,73,50,transfer,,192,,BelgianProLeague,Milan,,Belgium,74,29.4,"14,18,10,22,94,16",71,Brugge,,Belgium,70,73,,90,,70,,,,SerieA,,29.4M€,,,,81,EuropaOccidental,21,Europe
R. Krunić,UnnakSports,07October1993,,5M€,9M€,,SutjeskaFoca,,Right,MID(Midfielder),SerieA,1.8M€annual,08-07-2019,30-06-2025,Empoli,,,74,56,transfer,,184,,SerieA,Milan,,BosniaandHerzegovina,70,9.5,"19,8,10,20,17,14,23",67,Foča,,BosniaandHerzegovina,72,72,,33,,71,,,,SerieA,,9.5M€,,,08-09-2022,74,EuropadelSur,29,Europe
T. Pobega,PatrickBastianelli,15July1999,,20M€,18M€,,,,Two-Footed,MID(Midfielder),SerieA,473.7k€annual,15-07-2019,30-06-2027,Torino,,,,,transfer,,188,,SerieA,Milan,,Italy,68,17.5,"26,24,8,18,4,6,19",,Trieste,,Italy,,,,32,,,,,,SerieA,,17.5M€,,,05-08-2022,75,EuropadelSur,23,Europe
T. Bakayoko,,17August1994,,,,,"OlympiquedeParis15e(10/2000-8/2004),CAParis(9/2004-6/2006),MontrougeFC92(7/2006-6/2008)",,Right,MID(Midfielder),SerieA,,,,Napoli,,,70,59,,1,185,22years,SerieA,Milan,22years,France,55,4.4,"5,41,6,8,21,7,34,4",64,Paris,2,France,76,65,,14,,49,,25/03/2017,,SerieA,28/03/2017,,,,,81,EuropaOccidental,28,Europe
Y. Adli,,29July2000,,5M€,9M€,,"USVillejuif(2006-2013),FCParisSaint-Germain(2013-2018)",,Right,MID(Midfielder),SerieA,841.6k€annual,31-08-2021,30-06-2026,GirondinsBordeaux,,,71,51,transfer,,186,,Ligue2,Milan,,France,61,8.4,"19,29,17,38,15,8,37,10,13",65,Vitry-sur-Seine,,France,66,71,,7,,69,,,,SerieA,,8.4M€,,,,70,EuropaOccidental,22,Europe
A. Vranckx,DWSportsManagement,04October2002,,8M€,10M€,,"SCHoegaarden,KVKTienen,KVWoluweZaventem(-2016),KVMechelen(2016-2019)",,Right,MID(Midfielder),SerieA,18.5M€annual,01-07-2021,30-06-2025,Wolfsburg,,,70,53,transfer,,183,,Bundesliga,Milan,,Belgium,56,9.2,"8,16,6",72,Erps-Kwerps,,Belgium,70,64,,40,,59,,,,SerieA,,9.2M€,,Nike,,71,EuropaOccidental,20,Europe
